proizvodjac,model,tip,loa_m,sirina_m,godina_od,godina_do,kabine,prioritet,napomena
Bavaria,Cruiser 34,jedrilica,9.99,3.42,2016,,2/3,,
Bavaria,Cruiser 37,jedrilica,11.30,3.67,2013,,2/3,,
Bavaria,Cruiser 41,jedrilica,12.35,3.96,2013,,3,,
Bavaria,Cruiser 46,jedrilica,14.27,4.35,2014,2021,3/4,1,najbrojnija carter jedrilica u Hrvatskoj
Bavaria,Cruiser 50,jedrilica,15.40,4.49,2005,2013,4/5,,
Bavaria,Cruiser 51,jedrilica,15.40,4.67,2014,,3/4/5,,
Bavaria,C38,jedrilica,11.35,3.99,2022,,2/3,,
Bavaria,C42,jedrilica,12.85,4.29,2020,,3,,
Bavaria,C45,jedrilica,14.20,4.49,2018,,3/4,,
Bavaria,C50,jedrilica,15.49,4.79,2019,,3/4/5,,
Bavaria,C57,jedrilica,16.75,4.99,2017,,3/4/5,,
Beneteau,Oceanis 30.1,jedrilica,9.53,2.99,2019,,2,,
Beneteau,Oceanis 35.1,jedrilica,10.45,3.72,2017,,2/3,,
Beneteau,Oceanis 38.1,jedrilica,11.50,3.99,2017,,2/3,,
Beneteau,Oceanis 41.1,jedrilica,12.43,4.20,2016,,2/3,,
Beneteau,Oceanis 45,jedrilica,13.85,4.49,2012,2019,3/4,,
Beneteau,Oceanis 46.1,jedrilica,14.60,4.50,2018,,3/4/5,2,
Beneteau,Oceanis 48,jedrilica,14.60,4.74,2012,2018,3/4/5,,
Beneteau,Oceanis 51.1,jedrilica,15.94,4.80,2018,,3/4/5,,
Beneteau,Oceanis Yacht 54,jedrilica,16.75,4.90,2022,,3/4,,
Beneteau,Sun Loft 47,jedrilica,14.75,4.49,2020,,6,,carter model sa 6 kabina
Jeanneau,Sun Odyssey 349,jedrilica,10.34,3.44,2014,,2/3,,
Jeanneau,Sun Odyssey 380,jedrilica,11.35,3.76,2021,,2/3,,
Jeanneau,Sun Odyssey 410,jedrilica,12.35,3.99,2019,,2/3,,
Jeanneau,Sun Odyssey 419,jedrilica,12.76,3.99,2016,2019,2/3,,
Jeanneau,Sun Odyssey 440,jedrilica,13.39,4.29,2018,,2/3/4,3,
Jeanneau,Sun Odyssey 449,jedrilica,13.76,4.24,2015,2019,3/4,,
Jeanneau,Sun Odyssey 469,jedrilica,14.33,4.49,2012,2016,3/4,,
Jeanneau,Sun Odyssey 490,jedrilica,14.80,4.49,2018,,3/4/5,,
Jeanneau,Sun Odyssey 519,jedrilica,15.38,4.69,2016,,3/4/5,,
Hanse,348,jedrilica,10.40,3.55,2018,,2/3,,
Hanse,388,jedrilica,11.40,3.90,2018,,2/3,,
Hanse,418,jedrilica,12.40,4.17,2018,,2/3,,
Hanse,458,jedrilica,14.00,4.38,2018,,3/4,,
Hanse,508,jedrilica,15.40,4.75,2018,,3/4/5,,
Hanse,548,jedrilica,16.20,4.99,2018,,3/4/5,,
Dufour,360,jedrilica,10.73,3.54,2018,,2/3,,
Dufour,382,jedrilica,11.29,3.80,2015,2018,2/3,,
Dufour,390,jedrilica,11.93,3.99,2018,,2/3,,
Dufour,412,jedrilica,12.35,3.95,2015,2018,3,,
Dufour,430,jedrilica,13.24,4.30,2019,,3/4,,
Dufour,460,jedrilica,14.15,4.50,2016,2019,3/4/5,,
Dufour,470,jedrilica,14.85,4.74,2021,,3/4/5,,
Dufour,512,jedrilica,15.25,4.79,2015,2019,3/4/5,,
Dufour,530,jedrilica,16.35,4.85,2019,,3/4/5/6,,
Elan,Impression 40,jedrilica,12.29,3.90,2014,,3,,
Elan,Impression 45,jedrilica,13.85,4.18,2015,,3/4,,
Elan,Impression 50,jedrilica,15.20,4.49,2012,,4/5,,
Elan,E4,jedrilica,12.00,3.70,2016,,3,,
Elan,E5,jedrilica,13.60,3.97,2017,,3,,
Elan,GT5,jedrilica,13.96,4.18,2017,,3,,
Salona,38,jedrilica,11.50,3.60,2009,,3,,
Salona,41,jedrilica,12.40,3.85,2011,,3,,
Salona,44,jedrilica,13.40,4.10,2011,,3/4,,
Salona,46,jedrilica,14.10,4.30,2015,,3/4,,
More,40,jedrilica,12.20,3.95,2013,,3,,hrvatski proizvodjac
More,55,jedrilica,16.80,4.90,2013,,4/5,,hrvatski proizvodjac
Grand Soleil,43,jedrilica,13.20,4.20,2010,,3,,
Grand Soleil,46,jedrilica,14.20,4.40,2010,,3/4,,
Lagoon,40,katamaran,11.74,6.76,2018,,3/4,,
Lagoon,42,katamaran,12.80,7.70,2016,,3/4,4,
Lagoon,450 F,katamaran,13.96,7.87,2010,2022,3/4,,
Lagoon,450 S,katamaran,13.96,7.87,2014,2022,3/4,,
Lagoon,46,katamaran,13.99,7.96,2019,,3/4,,
Lagoon,50,katamaran,14.75,8.10,2018,,3/4/6,,
Lagoon,52,katamaran,15.85,8.60,2013,,3/4/5/6,,
Fountaine Pajot,Lucia 40,katamaran,11.73,6.63,2016,2021,3/4,,
Fountaine Pajot,Isla 40,katamaran,11.93,6.63,2020,,3/4,,
Fountaine Pajot,Astrea 42,katamaran,12.58,7.20,2018,,3/4,,
Fountaine Pajot,Elba 45,katamaran,13.45,7.42,2019,,3/4/5,,
Fountaine Pajot,Saona 47,katamaran,13.94,7.70,2017,,3/4/5,,
Fountaine Pajot,Tanna 47,katamaran,14.15,7.70,2022,,3/4/5,,
Fountaine Pajot,Saba 50,katamaran,14.98,8.09,2015,,3/4/5/6,,
Bali,Catspace,katamaran,12.20,6.59,2020,,3/4,,
Bali,4.1,katamaran,12.35,6.72,2019,,3/4,,
Bali,4.2,katamaran,12.80,7.10,2021,,3/4,5,veliki setovi vanjskih lezajeva
Bali,4.3,katamaran,13.10,7.10,2016,,3/4/5,,
Bali,4.4,katamaran,13.50,7.20,2023,,3/4/5,,
Bali,4.6,katamaran,14.28,7.50,2021,,3/4/5/6,,
Bali,4.8,katamaran,14.30,7.90,2020,,3/4/5/6,,
Bali,5.4,katamaran,16.80,8.60,2019,,4/5/6,,
Nautitech,40 Open,katamaran,11.98,6.91,2014,,3/4,,
Nautitech,46 Open,katamaran,14.00,7.54,2017,,3/4,,
Leopard,40,katamaran,11.99,6.72,2015,,3/4,,
Leopard,42,katamaran,12.67,7.35,2020,,3/4,,
Leopard,45,katamaran,13.77,7.35,2017,,3/4,,
Leopard,50,katamaran,15.42,8.04,2018,,3/4/5,,
Excess,11,katamaran,11.33,6.59,2020,,3/4,,
Excess,12,katamaran,11.73,6.73,2019,,3/4,,
Excess,15,katamaran,14.76,8.03,2020,,3/4,,
